iter	Passed	Remaining
891	5136	6379
892	5141	6373
893	5147	6368
894	5155	6364
895	5160	6358
896	5165	6351
897	5172	6347
898	5177	6341
899	5183	6334
900	5189	6329
901	5194	6323
902	5199	6316
903	5205	6311
904	5210	6304
905	5216	6298
906	5222	6293
907	5227	6287
908	5233	6281
909	5239	6275
910	5245	6270
911	5251	6265
912	5257	6259
913	5263	6253
914	5270	6249
915	5276	6244
916	5282	6238
917	5289	6233
918	5294	6227
919	5300	6222
920	5306	6216
921	5311	6210
922	5317	6204
923	5323	6198
924	5328	6192
925	5335	6188
926	5340	6181
927	5346	6175
928	5352	6170
929	5357	6164
930	5363	6158
931	5369	6152
932	5374	6145
933	5379	6140
934	5386	6135
935	5391	6129
936	5398	6124
937	5404	6118
938	5409	6111
939	5414	6105
940	5420	6100
941	5425	6094
942	5432	6089
943	5437	6082
944	5442	6075
945	5448	6070
946	5453	6064
947	5458	6057
948	5464	6051
949	5470	6046
950	5475	6040
951	5483	6036
952	5489	6030
953	5494	6024
954	5500	6018
955	5505	6012
956	5512	6008
957	5518	6002
958	5523	5995
959	5528	5989
960	5533	5982
961	5539	5976
962	5544	5970
963	5550	5965
964	5555	5958
965	5561	5953
966	5567	5947
967	5572	5940
968	5578	5935
969	5584	5929
970	5589	5923
971	5595	5917
972	5600	5911
973	5605	5905
974	5612	5899
975	5618	5894
976	5623	5888
977	5630	5884
978	5635	5877
979	5640	5871
980	5647	5866
981	5652	5860
982	5658	5854
983	5664	5848
984	5670	5842
985	5676	5837
986	5682	5831
987	5687	5826
988	5693	5820
989	5699	5814
990	5704	5807
991	5710	5802
992	5716	5797
993	5721	5790
994	5729	5786
995	5735	5781
996	5739	5774
997	5746	5769
998	5752	5763
999	5759	5759
1000	5765	5753
1001	5770	5747
1002	5775	5740
1003	5781	5735
1004	5786	5729
1005	5794	5725
1006	5799	5718
1007	5804	5712
1008	5813	5709
1009	5818	5703
1010	5825	5698
1011	5831	5692
1012	5836	5687
1013	5844	5682
1014	5849	5676
1015	5855	5671
1016	5861	5665
1017	5866	5658
1018	5871	5652
1019	5878	5647
1020	5884	5642
1021	5891	5638
1022	5898	5632
1023	5903	5626
1024	5909	5621
1025	5915	5616
1026	5921	5610
1027	5927	5604
1028	5932	5598
1029	5938	5592
1030	5944	5587
1031	5949	5580
1032	5955	5575
1033	5962	5569
1034	5967	5563
1035	5974	5559
1036	5981	5554
1037	5988	5549
1038	5993	5543
1039	6000	5538
1040	6007	5534
1041	6023	5538
1042	6041	5543
1043	6052	5542
1044	6064	5541
1045	6075	5540
1046	6085	5538
1047	6091	5533
1048	6097	5528
1049	6103	5522
1050	6108	5516
1051	6114	5510
1052	6122	5505
1053	6128	5500
1054	6133	5494
1055	6139	5488
1056	6144	5482
1057	6150	5476
1058	6156	5470
1059	6161	5464
1060	6168	5459
1061	6175	5454
1062	6181	5448
1063	6188	5443
1064	6193	5437
1065	6198	5431
1066	6204	5425
1067	6210	5420
1068	6217	5414
1069	6223	5409
1070	6228	5402
1071	6236	5398
1072	6241	5392
1073	6246	5385
1074	6253	5380
1075	6259	5374
1076	6265	5369
1077	6270	5363
1078	6275	5356
1079	6281	5351
1080	6288	5346
1081	6294	5340
1082	6301	5335
1083	6307	5329
1084	6312	5323
1085	6319	5318
1086	6324	5312
1087	6331	5306
1088	6337	5301
1089	6343	5295
1090	6350	5291
1091	6355	5284
1092	6361	5279
1093	6368	5274
1094	6373	5267
1095	6380	5262
1096	6386	5257
1097	6392	5251
1098	6400	5247
1099	6406	5241
1100	6412	5235
1101	6419	5230
1102	6425	5225
1103	6431	5219
1104	6436	5213
1105	6442	5207
1106	6448	5202
1107	6454	5196
1108	6460	5190
1109	6468	5186
1110	6473	5180
1111	6480	5175
1112	6485	5168
1113	6490	5162
1114	6497	5157
1115	6504	5152
1116	6510	5146
1117	6516	5141
1118	6523	5135
1119	6530	5130
1120	6535	5124
1121	6540	5118
1122	6547	5113
1123	6553	5107
1124	6560	5102
1125	6566	5096
1126	6572	5091
1127	6579	5086
1128	6584	5079
1129	6590	5074
1130	6597	5069
1131	6602	5062
1132	6608	5056
1133	6614	5051
1134	6621	5046
1135	6629	5041
1136	6634	5035
1137	6640	5029
1138	6647	5024
1139	6652	5018
1140	6657	5012
1141	6664	5006
1142	6669	5000
1143	6677	4996
1144	6683	4990
1145	6688	4984
1146	6695	4979
1147	6700	4973
1148	6705	4966
1149	6712	4961
1150	6718	4956
1151	6726	4951
1152	6732	4945
1153	6737	4939
1154	6744	4934
1155	6750	4928
1156	6755	4922
1157	6762	4917
1158	6767	4910
1159	6774	4905
1160	6780	4899
1161	6786	4894
1162	6794	4889
1163	6800	4883
1164	6806	4878
1165	6813	4873
1166	6818	4866
1167	6825	4862
1168	6831	4856
1169	6838	4851
1170	6844	4845
1171	6849	4839
1172	6856	4834
1173	6862	4828
1174	6868	4822
1175	6875	4817
1176	6882	4812
1177	6888	4806
1178	6894	4801
1179	6900	4795
1180	6907	4790
1181	6913	4784
1182	6918	4777
1183	6925	4773
1184	6931	4767
1185	6937	4761
1186	6943	4755
1187	6948	4749
1188	6955	4744
1189	6961	4738
1190	6967	4732
1191	6975	4728
1192	6981	4722
1193	6987	4717
1194	6994	4711
1195	6999	4705
1196	7006	4700
1197	7011	4694
1198	7017	4688
1199	7025	4683
1200	7030	4677
1201	7038	4672
1202	7043	4666
1203	7048	4659
1204	7054	4654
1205	7060	4648
1206	7065	4642
1207	7072	4637
1208	7078	4630
1209	7083	4624
1210	7090	4619
1211	7095	4613
1212	7102	4607
1213	7108	4602
1214	7113	4596
1215	7120	4590
1216	7125	4584
1217	7130	4577
1218	7137	4572
1219	7143	4566
1220	7149	4561
1221	7155	4555
1222	7161	4549
1223	7167	4544
1224	7173	4538
1225	7178	4532
1226	7186	4527
1227	7192	4521
1228	7198	4515
1229	7205	4510
1230	7210	4504
1231	7217	4498
1232	7222	4493
1233	7227	4486
1234	7234	4481
1235	7240	4475
1236	7246	4469
1237	7254	4465
1238	7259	4458
1239	7264	4452
1240	7271	4447
1241	7278	4442
1242	7285	4437
1243	7291	4431
1244	7296	4424
1245	7303	4419
1246	7308	4413
1247	7313	4406
1248	7319	4401
1249	7324	4394
1250	7330	4388
1251	7337	4383
1252	7342	4377
1253	7348	4371
1254	7355	4366
1255	7359	4359
1256	7366	4354
1257	7372	4348
1258	7377	4342
1259	7384	4336
1260	7391	4331
1261	7396	4325
1262	7403	4320
1263	7408	4313
1264	7414	4308
1265	7421	4302
1266	7426	4296
1267	7432	4290
1268	7438	4284
1269	7443	4278
1270	7450	4273
1271	7456	4267
1272	7463	4262
1273	7469	4256
1274	7474	4250
1275	7480	4244
1276	7486	4238
1277	7491	4232
1278	7497	4226
1279	7503	4220
1280	7508	4214
1281	7515	4209
1282	7520	4202
1283	7525	4196
1284	7533	4191
1285	7538	4185
1286	7544	4179
1287	7550	4174
1288	7555	4167
1289	7561	4161
1290	7567	4156
1291	7572	4149
1292	7579	4144
1293	7585	4138
1294	7590	4132
1295	7596	4126
1296	7602	4120
1297	7607	4114
1298	7613	4108
1299	7619	4103
1300	7624	4096
1301	7631	4091
1302	7636	4084
1303	7641	4078
1304	7647	4072
1305	7653	4067
1306	7659	4061
1307	7664	4055
1308	7670	4049
1309	7676	4043
1310	7682	4037
1311	7688	4031
1312	7695	4026
1313	7700	4020
1314	7707	4014
1315	7712	4008
1316	7719	4003
1317	7726	3997
1318	7731	3991
1319	7737	3985
1320	7744	3980
1321	7749	3974
1322	7755	3968
1323	7762	3963
1324	7768	3957
1325	7774	3951
1326	7781	3946
1327	7786	3940
1328	7793	3935
1329	7798	3928
1330	7803	3922
1331	7810	3917
1332	7816	3911
1333	7822	3905
1334	7828	3899
1335	7833	3893
1336	7839	3887
1337	7845	3881
1338	7851	3875
1339	7858	3870
1340	7864	3864
1341	7869	3858
1342	7875	3852
1343	7881	3847
1344	7887	3840
1345	7893	3835
1346	7899	3829
1347	7906	3824
1348	7912	3818
1349	7918	3812
1350	7924	3806
1351	7929	3800
1352	7935	3794
1353	7941	3788
1354	7946	3782
1355	7952	3776
1356	7959	3771
1357	7964	3765
1358	7970	3759
1359	7976	3753
1360	7981	3747
1361	7988	3742
1362	7994	3736
1363	7999	3729
1364	8005	3724
1365	8012	3718
1366	8017	3712
1367	8023	3706
1368	8029	3700
1369	8035	3695
1370	8040	3689
1371	8046	3683
1372	8053	3677
1373	8059	3671
1374	8064	3665
1375	8071	3660
1376	8077	3654
1377	8082	3648
1378	8088	3642
1379	8093	3636
1380	8099	3630
1381	8106	3625
1382	8111	3618
1383	8116	3612
1384	8122	3606
1385	8127	3600
1386	8133	3594
1387	8139	3588
1388	8144	3582
1389	8150	3577
1390	8156	3570
1391	8161	3564
1392	8167	3558
1393	8172	3552
1394	8178	3546
1395	8184	3541
1396	8189	3534
1397	8195	3528
1398	8200	3523
1399	8206	3517
1400	8211	3510
1401	8218	3505
1402	8224	3499
1403	8231	3494
1404	8237	3488
1405	8243	3482
1406	8250	3477
1407	8255	3471
1408	8260	3464
1409	8267	3459
1410	8274	3454
1411	8280	3448
1412	8285	3442
1413	8290	3435
1414	8295	3429
1415	8302	3424
1416	8307	3418
1417	8314	3412
1418	8319	3406
1419	8324	3400
1420	8331	3394
1421	8337	3388
1422	8343	3383
1423	8350	3377
1424	8355	3371
1425	8360	3365
1426	8366	3359
1427	8372	3353
1428	8379	3348
1429	8385	3342
1430	8391	3336
1431	8396	3330
1432	8402	3324
1433	8407	3318
1434	8413	3312
1435	8419	3306
1436	8425	3300
